
Sysinternals Autoruns v14.3 - Autostart program viewer
Copyright © 2002-2026 Mark Russinovich
Sysinternals - www.sysinternals.com

Time,Entry Location,Entry,Enabled,Category,Profile,Description,Signer,Company,Image Path,Version,Launch String,MD5,SHA-1,PESHA-1,PESHA-256,SHA-256,IMP
4/1/2024 2:26:32 PM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 4:48:48 PM,HKLM\System\CurrentControlSet\Control\Terminal Server\Wds\rdpwd\StartupPrograms,rdpclip,enabled,Logon,System-wide,RDP Clipboard Monitor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\rdpclip.exe,10.0.26100.9444,rdpclip,3E42072647C902554D706C61ACA99677,3702B894ABB7B7A143B53517D442F22A2AFDD17D,0A4CE1FA3BC3913E694542C9DF21AF0B3D783B26,5438520FEA621F4E252AA04603FB28409BF53650A7044F1AF6446E0DFCC6A1E0,E1A67D1D54B697DE9DBA949CB2C1F6E6AB8B930163295A1F29CE6A820EFB64CB,C3F19DD5842358AD5F4E8DEA8B83A5BD
9/22/2026 4:27:05 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 4:49:44 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,SecurityHealth,enabled,Logon,System-wide,Windows Security notification icon,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\SecurityHealthSystray.exe,10.0.26100.8115,%windir%\system32\SecurityHealthSystray.exe,8D41568A89DEE97CB6E217125553CF46,F31EBFE28CDB0F424EC1DBEE74291CDE7CE93661,093D6060542AD4B9A0BBDE133BA5BD01516D71AE,C1C7D8DBB9934B85591FB4B7231F1E622DA47E188DF4466141DCF3169F081B9A,129CC582D72581F1459C7A9AC8B020DCD3642FAE6A69ACC26C680190494970DB,81064125BBA480CDFE4B334998446BE8
6/27/2025 12:47:26 PM,HKLM\SOFTWARE\Microsoft\Windows\CurrentVersion\Run,VMware User Process,enabled,Logon,System-wide,VMware Tools Core Service,(Verified) Broadcom Inc,(Verified) Broadcom Inc,C:\Program Files\VMware\VMware Tools\vmtoolsd.exe,12.5.3.52671,"""C:\Program Files\VMware\VMware Tools\vmtoolsd.exe"" -n vmusr",B94AA28B0478A87E5C6CA46BE5265BF2,01AEA9A9DFF9CC3DD233A51E140DFAB9756D1E73,0652EEA1483E9B927F51C5626CC0CCAD7985AA36,9BFAC1C0B309EAE6372DA7B3254FE3289A452233B519EBF58BE8223DC525A137,4893825833EAD678BC73734DC1EA8821C7B5431BFE59AF0AD14A1ECAAA51230F,8A2930EA5F1EC61A2F9994C5214D2650
9/22/2026 4:28:08 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 4:46:58 PM,HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Winlogon\Shell,explorer.exe,enabled,Logon,System-wide,Windows Explorer,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\explorer.exe,10.0.26100.9444,explorer.exe,ED724F3C0D9C5815E5F82308050A5742,3DD0BD41A79B3875AACA1A0CD2D34C3267A16740,48CA51568302E509701DF8E5B2CAE7C5BFBA23C2,DC61AC59537E55B252CD2F5B4D8F329DE985031F3923AC40F8C848ECA491A002,87811A107EED62900B230C49A252170D6A7307E94A08307CE972F9B9B8155D54,7D63FFC8FD3FCA887F8F6E6F7558B4FF
4/1/2024 2:26:32 PM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,,,Logon,System-wide,,,,,,,,,,,,
9/15/2026 4:46:30 PM,HKLM\SYSTEM\CurrentControlSet\Control\SafeBoot\AlternateShell,cmd.exe,enabled,Logon,System-wide,Windows Command Processor,(Verified) Microsoft Windows,(Verified) Microsoft Windows,C:\WINDOWS\system32\cmd.exe,10.0.26100.9278,cmd.exe,CE396564392FAFAAD5C07A5E2DADE4E6,D1682EA6D9ECE5C98560048D22F1AF6960EAD9A9,AD5F5F2F076215789CED62935908BAE236F4A1BF,50C3C8840B746BAF895B57AD7C163B6831A2D43F5E9345836537AB4D15533385,97AC98B1A92C286054CCE55239CFCCDFC23A5517BD07FE693072C9CA96C7DABB,010B165E4C37F484601D3DBD700C9423
9/22/2026 4:28:08 PM,HKLM\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\UserInit,,,Logon,System-wide,,,,,,,,,,,,
